"taxon","position","date_start","n_obs","response","predictor","estimate","std_estimate","p_value","r2_cond","r2_marg","type","null_mean_estimate","null_sd_estimate","path_id","month","season"
"all_taxa","A",2024-03-06,"model","root","microclimate_1",1.363,0.5662,0,0.35,0.24,"observed",-0.00120749816498221,0.0754488899503128,"microclimate_1 -> root",3,"Spring"
"all_taxa","A",2024-03-06,"model","root","microclimate_2",0.0241,0.0416,0.7186,0.35,0.24,"observed",0.00156743266896279,0.0749605247685457,"microclimate_2 -> root",3,"Spring"
"all_taxa","A",2024-03-06,"model","fauna","microclimate_1",0.9381,0.4085,0,0.43,0.13,"observed",-0.00184604765400034,0.0771923483573267,"microclimate_1 -> fauna",3,"Spring"
"all_taxa","A",2024-03-06,"model","fauna","microclimate_2",0.1747,0.3165,2e-04,0.43,0.13,"observed",-0.00417677149793913,0.0755608285345694,"microclimate_2 -> fauna",3,"Spring"
"all_taxa","A",2024-03-06,"model","fauna","root",0.1097,0.115,0.0422,0.43,0.13,"observed",0.00151940884196262,0.0770696039113462,"root -> fauna",3,"Spring"
"all_taxa","A",2024-03-07,"model","root","microclimate_1",1.3556,0.5409,0,0.36,0.25,"observed",-0.00120749816498221,0.0754488899503128,"microclimate_1 -> root",3,"Spring"
"all_taxa","A",2024-03-07,"model","root","microclimate_2",-0.0071,-0.0116,0.919,0.36,0.25,"observed",0.00156743266896279,0.0749605247685457,"microclimate_2 -> root",3,"Spring"
"all_taxa","A",2024-03-07,"model","fauna","microclimate_1",0.9753,0.4179,0,0.43,0.14,"observed",-0.00184604765400034,0.0771923483573267,"microclimate_1 -> fauna",3,"Spring"
"all_taxa","A",2024-03-07,"model","fauna","microclimate_2",0.1729,0.3048,4e-04,0.43,0.14,"observed",-0.00417677149793913,0.0755608285345694,"microclimate_2 -> fauna",3,"Spring"
"all_taxa","A",2024-03-07,"model","fauna","root",0.1198,0.1287,0.0252,0.43,0.14,"observed",0.00151940884196262,0.0770696039113462,"root -> fauna",3,"Spring"
